Model,TN,FP,FN,TP,Recall,Precision,FPR,FNR,F1‑Score,MCC,Kappa
Softmax,12505,3888,2563,17147,0.860,0.810,0.230,0.130,0.840,0.630,0.630
Random Forest,16393,0,0,19710,1.000,1.000,0.000,0.000,1.000,1.000,1.000
SVC,15960,433,110,19600,0.990,0.970,0.020,0.005,0.980,0.960,0.960
KNN,16279,114,35,19675,0.998,0.990,0.006,0.002,0.990,0.992,0.991
Random Trees,16393,0,0,19710,1.000,1.000,0.000,0.000,1.000,1.000,1.000
Decision Trees,16393,0,0,19710,1.000,1.000,0.000,0.000,1.000,1.000,1.000
MLP,15668,725,71,19639,0.996,0.964,0.044,0.003,0.980,0.950,0.955
