Model,TN,FP,FN,TP,Recall,Precision,FPR,FNR,F1‑Score,MCC,Kappa
Softmax,15753,640,1,19709,0.990,0.968,0.039,0.001,0.983,0.964,0.964
Random Forest,16393,0,0,19710,1.000,1.000,0.000,0.000,1.000,1.000,1.000
SVC,11862,4531,33,19677,0.998,0.810,0.270,0.001,0.896,0.764,0.738
KNN,9410,6983,6389,13321,0.675,0.656,0.425,0.324,0.665,0.250,0.250
Random Trees,16393,0,1,19709,0.999,1.000,0.000,0.000,0.999,0.999,0.999
Decision Trees,16393,0,0,19710,1.000,1.000,0.000,0.000,1.000,1.000,1.000
MLP,16365,28,34,19676,0.998,0.998,0.002,0.002,0.998,0.997,0.997
