Model,TN,FP,FN,TP,Recall,Precision,FPR,FNR,F1‑Score,MCC,Kappa
Softmax,"14\,671","1\,722","1\,246","18\,464",0.930,0.910,0.105,0.063,0.925,0.834,0.833
Random Forest,"16\,393",0,0,"19\,710",1.000,1.000,0.000,0.000,1.000,1.000,1.000
SVC,"16\,199",194,54,"19\,656",0.997,0.990,0.012,0.003,0.994,0.986,0.986
KNN,"16\,365",28,21,"19\,689",0.999,0.999,0.002,0.001,0.998,0.997,0.997
Random Trees,"16\,393",0,0,"19\,710",1.000,1.000,0.000,0.000,1.000,1.000,1.000
Decision Trees,"16\,393",0,0,"19\,710",1.000,1.000,0.000,0.000,1.000,1.000,1.000
MLP,"16\,356",37,22,"19\,688",0.998,0.980,0.002,0.001,0.999,0.996,0.996
