Model,Train (\%),Test (\%),Validation (\%),5‑Fold CV (Mean),5‑Fold Scores,Accuracies (\%)
Softmax,67.900,67.810,68.060,—,—,—
Random Forest,100.000,98.710,98.720,99.00,"(0.9889, 0.9901, 0.9910, 0.9902, 0.9896)",99.6 / 100 / 100
SVC,93.370,93.380,93.270,—,—,—
KNN,99.290,98.790,98.840,—,—,—
Random Trees,100.000,99.070,99.060,99.25,"(0.9921, 0.9926, 0.9936, 0.9920, 0.9920)",99.73 / 100 / 100
Decision Trees,100.000,96.330,96.330,96.81,"(0.9658, 0.9680, 0.9692, 0.9691, 0.9685)",98.95 / 100 / 100
MLP,96.330,96.130,96.060,—,—,—
