Model,TN,FP,FN,TP,Recall,Precision,FPR,FNR,F1-Score,MCC,Kappa
Softmax,13854,2539,1388,18322,0.920,0.870,0.150,0.070,0.900,0.780,0.770
Random Forest,16393,0,0,19710,1.000,1.000,0.000,0.000,1.000,1.000,1.000
SVC,15977,416,94,19616,0.995,0.979,0.025,0.004,0.980,0.970,0.971
KNN,16328,65,48,19662,0.997,0.996,0.003,0.002,0.997,0.993,0.993
Random Trees,16393,0,0,19710,1.000,1.000,0.000,0.000,1.000,1.000,1.000
Decision Trees,16393,0,0,19710,1.000,1.000,0.000,0.000,1.000,1.000,1.000
MLP,16387,6,1,19709,0.990,0.990,0.000,0.000,0.999,1.000,1.000
