Model,TN,FP,FN,TP,Recall,Precision,FPR,FNR,F1‑Score,MCC,Kappa
Softmax,14546,1847,1247,18463,0.936,0.909,0.112,0.063,0.922,0.827,0.826
Random Forest,16393,0,0,19710,1.000,1.000,0.000,0.000,1.000,1.000,1.000
SVC,15914,479,64,19646,0.996,0.970,0.029,0.003,0.986,0.970,0.970
KNN,16268,125,22,19688,0.998,0.993,0.007,0.001,0.996,0.991,0.991
Random Trees,16393,0,0,19710,1.000,1.000,0.000,0.000,1.000,1.000,1.000
Decision Trees,16393,0,0,1710,1.000,1.000,0.000,0.000,1.000,1.000,1.000
MLP,16379,14,45,19665,0.997,0.999,0.001,0.002,0.998,0.996,0.996
